Sr.No.,Name of company,Year founded,Technology,Business Model,Location,Number of Employees,,,
1,Razberi,2011,Artificial Intelligence,B2C,United States (USA),17,,,
2,React Labs,2021,Artificial Intelligence,B2C,"Maharashtra, India",50,,,
3,Clodura,2015,Artificial Intelligence,B2B,"Maharashtra, India",70,,,
4,ClanConnect.ai,2020,Artificial Intelligence,B2B,"Delhi, India",20,,,
5,City Surveillance Services Private Limited,2016,Video Analytics,B2B,"Tamil Nadu, India",5,,,
6,Clairco,2018,Nano-tech,B2B,"Karnataka, India",20,,,
7,Ciphercode,2018,Artificial Intelligence,B2B,"Karnataka, India",15,,,
8,Cialfo,2017,Artificial Intelligence,B2B,"Uttar Pradesh, India",250,,,
9,Cerebras Systems,2015,Computer Vision,B2B,"Karnataka, India",300,,,
10,Cere Labs,2015,Deep Tech,B2B,"Maharashtra, India",50,,,
11,Celusion Technologies,2004,Computer Vision,B2B,"Maharashtra, India",250,,,
12,Capital Numbers,2012,IoT,B2B,"West Bengal, India",600,,,
13,CamfyVision Technologies Pvt Ltd.,2017,Computer Vision,B2B,"Karnataka, India",50,,,
14,ReadyAssist,2016,Artificial Intelligence,B2C,Karnataka,200,,,
15,ByGrad,2016,Big Data,B2C,"Karnataka, India",250,,,
16,Builder.ai,2012,Artificial Intelligence,B2B,"Haryana, India",500,,,
17,Brillio,2014,Artificial Intelligence,B2B,"Karnataka, India",1000,,,
18,Brightcove,2004,Video hosting,B2B,"Maharashtra, India",400,,,
19,BrightMoney,2019,Artificial Intelligence,B2C,"Karnataka, India",150,,,
20,Recogni,2017,Artificial Intelligence,B2B,United States (USA),0,,,
21,Recotap,2018,Artificial Intelligence,B2B,Karnataka,50,,,
22,Recursion,2013,Artificial Intelligence,B2B,United States (USA),500,,,
23,Bridcodes Global,2008,Artificial Intelligence,B2C,"Karnataka, India",50,,,
24,Borgfy,2020,Artificial Intelligence,B2B,"Delhi, India",50,,,
25,Bolo Indya,2019,Artificial Intelligence,C2C,"Haryana, India",0,,,
26,Bluesemi,2017,--,--,"Telangana, India",8,,,
27,Bizom,2008,Machine Learning,B2B,"Karnataka, India",400,,,
