Sr. No.,Date(dd/mm/yyyy),Startup Name,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,02/02/2015,Faaya,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event
2,02/02/2015,InstaBounce,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event
3,02/02/2015,Chloroplast Foods,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event
4,02/02/2015,Dealwithus,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event
5,02/02/2015,CleverSharks,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event
6,02/02/2015,Leaf,Group of Angel Investors,SeedFunding,"16,600",At the 10 minute million event
7,02/02/2015,SmartPocket,"Sol Primero, Rajiv Mehta",SeedFunding,"250,000",For mobile app
8,02/02/2015,Yumist,Orios Venture Partner,Private Equity,"1,000,000",
9,02/02/2015,NowFloats,Omidyar Network,Private Equity,N/A,Series A
10,02/02/2015,FirstCry,Valiant Capital Partners,Private Equity,"26,000,000",Series D
11,02/02/2015,HolaChef,India Quotient,SeedFunding,"325,000",
12,03/02/2015,Frsh.co.in,"India Quotient, Kae Capital",SeedFunding,"518,000",
13,03/02/2015,Manthan,"Temasek, Norwest Venture Partners",Private Equity,"60,000,000",Series D
14,05/02/2015,Kobster.com,Splice Advisors,SeedFunding,N/A,
15,05/02/2015,Culture Machine,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"18,000,000",Series B
16,05/02/2015,Paytm,Ant Financial Services (Alipay),Private Equity,N/A,Strategic Investment (25% stake)
17,05/02/2015,Aisle.co,"Anand Vijay, Shashank Mehrotra & Others",SeedFunding,"100,000",
18,06/02/2015,FreeCharge,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",Private Equity,"80,000,000",Series C
19,06/02/2015,NewsHunt,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India and Omidyar Network",Private Equity,"40,000,000",Series C
20,09/02/2015,MyNoticePeriod,IDG Ventures,Private Equity,"3,000,000",Series A
21,09/02/2015,CarDekho.com,Ratan Tata,Private Equity,N/A,
