Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,01/07/2015,Parcelled,Online Logistics Platform,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,N/A,
2,01/07/2015,Retigence Technologies,Business IT Intelligence Services,Mumbai,Omnivore Partners,Private Equity,N/A,Series A
3,01/07/2015,Cloudcherry Analytics,CRM / Analytics platform,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,"1,000,000",
4,01/07/015,HandyHome,Hyperlocal Electronics repair Service,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,"630,000",
5,01/07/2015,iDreamCareer,Ed-Tech Platform,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,N/A,
6,01/07/2015,Ola Cabs,Cab rental Mobile app,Bangalore,Ratan Tata,Private Equity,N/A,Personal Investment
7,01/07/2015,NxtGen,IT infrastructure & Data Center services,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,"13,500,000",Series A
8,02/07/2015,BankBazaar,Online Financial Services,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,"60,000,000",Series C(More here)
9,02/07/2015,Gozoomo,Used Car Marketplace,Bangalore,SAIF Partners,Private Equity,"5,000,000",Series A
10,02/07/2015,Zenatix,Internet of Things platform,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,"161,000",
11,03/07/2015,CultureAlley,Language Learning App,Jaipur,Tiger Global,Private Equity,"6,500,000",Series A
12,03/07/2015,Goqii,Mobile Fitness Marketplace,Mumbai,Vijay Shekhar Sharma,Private Equity,N/A,Pre-Series A
13,03/07/2015,Gingercrush,Custom Merchandize platform,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,"1,000,000",
14,04/07/2015,Elanic,P2P Pre-owned goods marketplace,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,N/A,
15,04/07/2015,Stitchwood,Custom Furniture Marketplace,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,"395,000",
16,05/07/2015,Urban Tailor,Online Tailoring Services,Bangalore,Group of angel investors,Seed Funding,N/A,
17,06/07/2015,ConfirmtTkt,Rail Ticket Confirmation predictor,Bangalore,Pravin Agarwala & others,Seed Funding,N/A,
18,06/07/2015,Paper Boat,Ethnic Beverages manufacturer,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,"30,000,000",Series B
19,06/07/2015,getNow,Hyperlocal Goods marketplace,Nagpur,Atulya Mittal,Seed Funding,N/A,
20,07/07/2015,Wudstay,Budget Accommodation aggregator,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,"3,000,000",Series A
21,07/07/2015,Liases Foras,Real Estate Rating & Analysis,New Delhi,DMG information Asia Pacific,Private Equity,"5,000,000",Series A
22,07/07/2015,Eatlo,Food Delivery platform,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,N/A,
23,07/07/2015,IndiaLends,Financial Tech,New Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity,N/A,Pre-Series A
24,08/07/2015,Quinto,Food Discovery App,Pune,Jaydeep Barman,Seed Funding,N/A,
25,08/07/2015,Saavn,Music Streaming App,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,"100,000,000",Series C
26,08/07/2015,Flytxt,Big Data & Analytics platform,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,"11,000,000",Series A
27,08/07/2015,Axtria,Big Data & Analytics platform,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,"30,000,000",Series C
28,08/07/2015,33Coupons,Coupon Aggregator Platform,Kanpur,Not Disclosed,Seed Funding,"20,000",
29,08/07/2015,Ampere,Electric Scooter manufacturer,Coimbatore,Ratan Tata,Seed Funding,N/A,
30,08/07/2015,Hopping Chef,Online Food-Tech Platform,Mumbai,Mirah Hospitality,Seed Funding,"470,000",Strategic Investment
31,08/07/2015,Collectabillia,Celebrity Fashion Brand,Bangalore,Accel Partners,Private Equity,"7,500,000",Series B
32,08/07/2015,Lendingkart,Online Finance lending platform,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,"10,000,000",Series A
33,08/07/2015,Lybrate,Healthcare Mobile App,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,"10,200,000",Series A
34,08/07/2015,Zoomcar,Self-driven vehicle rental,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,"11,000,000",Series B
35,09/7/2015,News in shorts,News Aggregator mobile app,Noida,Tiger Global,Private Equity,"20,000,000",Series B
36,09/7/2015,Bluestone,Online Jewellery Store,Bangalore,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,"16,200,000",
37,09/7/2015,Shopsity,Fashion Info Aggregator App,Gurgaon,"Sandeep Aggarwal, Teruhide Sato",Seed Funding,N/A,
38,09/7/2015,Notesgen,Online Study Notes Marketplace,New Delhi,"Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,N/A,
39,10/7/2015,Infinity Assurance,Warranty Programs Service Administration,New Delhi,Indian Angel Network,Seed Funding,"600,000",
40,10/7/2015,Footprints Education,Pre-School Chain,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,"685,000",
41,10/7/2015,Loylty Rewards,Premium Loyalty Rewards Point Management,Mumbai,IndianIdeas.com,Private Equity,"19,350,000",Late Stage
42,13/7/2015,Ameyo,Contact Center Software Platform,Gurgaon,Forum Synergies PE Fund,Private Equity,"5,000,000",Series A
43,13/7/2015,Mamagoto,Casual Dining restaurant Chain,New Delhi,Goldman Sachs,Private Equity,"10,000,000",Series A
44,13/7/2015,Satvacart,Online Grocery Delivery,Gurgaon,Palaash Ventures,Seed Funding,N/A,
45,14/7/2015,MySmartPrice,Online comparison engine,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,"10,000,000",Series B
46,14/7/2015,Zenify,Residential Rental management platform,Bangalore,Atul Jalan,Seed Funding,N/A,
47,14/7/2015,Boxmyspace,Physical Storage warehouses,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,"300,000",
48,14/7/2015,HackerRank,Tech Recruitment platform,Bangalore,HR Technology fund,Private Equity,"7,500,000",Series C
49,14/7/2015,WickedRide,Bike Rental Platform,Bangalore,Undisclosed,Seed Funding,"790,000",
50,14/7/2015,WoWexpress,Tech enabled logistics platform,Mumbai,Tamarind Family Private Trust,Seed Funding,"500,000",
51,15/7/2015,Oyo Rooms,Budget Hotel Accommodation,Gurgaon,"Softbank, Sequoia Capital",Private Equity,"100,000,000",Series B
52,15/7/2015,Mobikon,Restaurant customer engagement platform,Pune,Jungle Ventures,Private Equity,"2,300,000",Series B
