Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,01/06/2015,Vyomo,Beauty and Wellness Platform,New Delhi,Aprameya Radhakrishna,Seed Funding,N/A,
2,01/06/2015,Veeba Foods,Healthy Food Manufacturer,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,"6,000,000",Series B
3,01/06/2015,Truebil,Used Car Marketplace,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"500,000",
4,01/06/2015,Meritnation,Online Learning Platform,New Delhi,InfoEdge,Private Equity,"4,000,000",Series C
5,01/06/2015,Eattreatonline,Healthy Food Online Community,New Delhi,Group of 15 Angel Investors,Seed Funding,"350,000",
6,01/06/2015,CredR,Used two-wheeler Marketplace,Mumbai,GrowthStory,Seed Funding,N/A,
7,01/06/2015,Glamrs,Online Fashion Video Portal,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,"1,000,000",Pre-Series A
8,01/06/2015,Proviera,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,"550,000",
9,01/06/2015,Arth DesignBuild,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,"500,000",
10,02/06/2015,Saama,Big Data & Analytics Services,Pune / US,Carrick Capital Partners,Private Equity,"35,000,000",Series A
11,02/06/2015,AllIzHealth,Preventive Healthcare Services,Pune,Mumbai Angels & Other angel investors,Seed Funding,"350,000",
12,02/06/2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,Udaipur,Ennovent Impact Investment Holding,Private Equity,N/A,Series A
13,03/06/2015,Entropy Innovations,Engineering Innovations,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,N/A,
14,03/06/2015,Propstack,Real Estate Intelligence Platform,Mumbai,DMG Information,Private Equity,"3,000,000",Series A
15,03/06/2015,MyTaxiIndia,Online Car Rental Affiliates,New Delhi,Green House Ventures,Seed Funding,"100,000",
16,03/06/2015,Arkin Net,Data Center Software platform,Pune / US,Nexus Venture Partners,Private Equity,"15,000,000",Series B
17,03/06/2015,Little Black Book Delhi,Online City & Lifestyle Guide,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"150,000",
