Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,01/05/2015,Foodpanda,Online Food Delivery,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,"100,000,000",Series D
2,01/05/2015,Termsheet,Fund Raising Platform,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,"100,000",
3,04/05/2015,Applicate,Workforce Management Software,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"550,000",
4,04/05/2015,World Art Community,Online Art Marketplace,Gurgaon,Viraj Tyagi & others,Seed Funding,"200,000",
5,04/05/2015,SpoonJoy,Online Food Delivery,Bangalore,SAIF Partners,Seed Funding,"1,000,000",
6,05/05/2015,Seed Schools,Affordable Education,Hyderabad,Acumen Fund,Seed Funding,"650,000",
7,05/05/2015,Ignis Careers,Career Development,Hyderabad,Acumen Fund,Seed Funding,"250,000",
8,05/05/2015,Square Yards,Real Estate Advisory,Gurgaon,Undisclosed Investors,Private Equity,"6,000,000",pre-Series A
9,05/05/2015,Fintellix,Banking Analytics Platform,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,"15,000,000",Series C
10,05/05/2015,Customer360,Customer Engagement Platform,Mumbai,Vishwas Patel,Seed Funding,N/A,
11,06/05/2015,Delhivery,Ecommerce Logistics,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,"85,000,000",Series D
12,06/05/2015,Swiggy,Online Food Delivery,Bangalore,Norwest Venture Partners,Private Equity,"15,000,000",Series B
13,07/05/2015,Uniphore,Speech Recognition Solutions,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,N/A,Series A
14,07/05/2015,Box8,Online Food Delivery,Mumbai,Mayfield Ventures,Private Equity,"3,500,000",Series A
15,07/05/2015,Toppr,Online Education Platform,Mumbai,"Fidelity Growth Partners India, SAIF Partners,  Helion Ventures",Private Equity,"10,000,000",Series B
16,07/05/2015,Vedantu,Online Education Platform,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,"5,000,000",Series A
17,08/05/2015,BuyHatke,Online Product Comparison,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,"1,000,000",
18,08/05/2015,KleverKid,Online Education Platform,New Delhi,Aarin Capital Partners,Seed Funding,N/A,
19,08/05/2015,Uniken,Online Security Platform,Pune,Exfinity Ventures,Private Equity,"2,000,000",Bridge Round Pre-Series B
20,08/05/2015,GrandOpinion,Online Medical Diagnostic,New Delhi,Florida based Angel investor,Seed Funding,"150,000",
21,08/05/2015,HealthifyMe,Health & Fitness App,Bangalore,Micromax Informatics,Private Equity,N/A,Strategic Investment
22,12/05/2015,ZapStitch,Cloud Data Integration Platform,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,"2,000,000",Pre-Series A
23,12/05/2015,Wassup,Mobile Laundry Cleaning Service,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"2,000,000",Pre-Series A
24,12/05.2015,Mobiefit,Mobile Fitness App,Goa,Prototyze,Seed Funding,N/A,
25,12/05.2015,Plancess,Online Education Platform,Mumbai,"Rajendra Gogri,  Chandrakant Gogri",Seed Funding,"2,000,000",
26,12/05/2015,WorkHorse,Service-On-Demand Mobile App,Mumbai,Undisclosed Investors,Seed Funding,N/A,
27,13/05/2015,Innovaccer,Intelligent Data Analytics,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,N/A,
28,13/05/2015,MyCuteOffice,Online Office Rental,Mumbai,Lead Angels,Seed Funding,N/A,
29,14/05/2015,IndianRoots.com,Lifestyle Ecommerce Portal,Gurgaon,KJS Group,Private Equity,"5,000,000",Series B
30,14/05/2015,RedPolka,Online Fashion Aggregator,Mumbai,Undisclosed Investors,Seed Funding,"250,000",
31,15/05/2015,Venturesity,Online Job skills Showcase,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"270,000",
32,18/05/2015,TheBetterIndia.com,Online News Media,Bangalore,Mohandas Pai,Seed Funding,N/A,Pre-Series Bridge
33,18/05/2015,Awaaz De,Enterprise Communication Platform,Ahmedabad,Samir Shah,Seed Funding,N/A,
34,19/05/2015,Chaayos,Offline Tea Chain,New Delhi,Tiger Global Management,Private Equity,"1,000,000",Series A
35,19/05/2015,Akosha,Business Messaging App,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series B
36,19/05/2015,Cooey,Health Mobile App,Bangalore,Subhash Goyal,Seed Funding,"470,000",
37,19/05/2015,MeetUniv,Online Ed-Tech Platform,Noida,Peesh Venture Capital,Seed Funding,"1,000,000",
38,19/05/2015,Inspirock,Online Travel Planning,,MakeMyTrip Innovation Fund,Private Equity,N/A,
39,19/05/2015,Crown-it,Hyperlocal Mobile Marketplace,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,"5,500,000",Series A
40,19/05/2015,Trucksfirst,Trucking Logistic Operations,Gurgaon,SAIF partners,Private Equity,"10,000,000",Series A
41,20/05/2015,Lookup,B2C Messaging App,Bangalore,Biz Stone,Private Equity,"3,000,000",Series A
42,21/05/2015,SunTerrace,Rooftop Solar Plants,New Delhi,Sunergy Investors,Private Equity,N/A,
43,22/05/2015,Nudgespot,Customer Engagement Platform,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"625,000",
44,22/05/2015,CarDekho,Online Car Portal,Jaipur,HDFC Bank,Private Equity,N/A,1% stake
45,22/05/2015,EveningFlavors,Online Table Reservation,Bangalore,Sandiep Shrivatsava,Seed Funding,"500,000",
46,25/05/2015,Razorpay,Online Payment Gateway,Bangalore,Punit Soni,Seed Funding,N/A,
47,25/05/2015,ZenParent,Parents focused Web Content,Bangalore,i2india Ventures,Seed Funding,"500,000",
48,25/05/2015,Newgen Payments,Payments Solution Provider,New Delhi,Jan Manten,Seed Funding,N/A,
49,26/05/2015,UrbanPro,On-demand Service marketplace,Bangalore,Nirvana Venture Advisors,Private Equity,"2,000,000",Series A
50,26/05/2015,Goodbox,On-Demand Business messaging,Bangalore,Manipal Group,Seed Funding,"200,000",
51,26/05/2015,Renderlogy,Online Home Décor,Hyderabad,Astarc Ventures,Private Equity,"1,000,000",Series A
52,27/05/2015,Postman,API Workflow platform,Bangalore,Nexus Venture Partners,Seed Funding,"1,000,000",Series A
53,27/05/2015,Casa2inns,Affordable Hotel Booking Online,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"5,000,000",Series A
54,27/05/2015,FleetRover,Logistics Intelligence,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"180,000",
56,28/05/2015,TheKarrier,Last Mile Logistics,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"240,000",
57,28/05/2015,Zoomcar,Self-driven Car rental,Bangalore,Sequoia Capital,Private Equity,"5,000,000",Series B Interim Funding
58,28/05/2015,Truweight,Weight Management Service,Hyderabad,Kalaari Capital,Private Equity,N/A,Series A
59,30/05/2015,Ather Energy,Electric Scooter Manufacturer,Bangalore,Tiger Global,Private Equity,"12,000,000",Series A
60,,,,,,,,
,,,,,,,,
