Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,02/11/2015,Twigly,Online Food Ordering & Delivery platform,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,"200,000",
2,02/11/2015,CityFlo,Bus Aggregation and rental mobile app,Mumbai,IDG Ventures,Seed Funding,"750,000",
3,03/11/2015,Findyahan,hyperlocal online Services platform,Noida,Times Group Brand Capital,Private Equity,N/A,Bridge funding
4,03/11/2015,Sabse,WiFi – first Cloud communication platform,Mumbai,Ratan Tata,Private Equity,N/A,N/A
5,03/11/2015,Pokkt,Alternate Mobile Monetization platform,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel’s Innov8, Jungle Ventures, K Ganesh",Private Equity,"5,000,000",Series B
6,03/11/2015,boibanit,Online Food Ordering Marketplace,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,"150,000",
7,03/11/2015,Stuffed,Quick Service Restaurant & Online Delivery,Mumbai,Riqueza Capital,Seed Funding,"385,000",Funding happened in Sept 2015
8,03/11/2015,LoanBaba,Online Loans Marketplace,Mumbai,N/A,Seed Funding,"320,000",
9,03/11/2015,Deyor Rooms,Budget Hotels Aggregator,New Delhi,Dheeraj Jain & Others,Seed Funding,"500,000",
10,03/11/2015,Bidgely,Efficient Energy Management platform,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,"16,600,000",Series B
11,04/11/2015,Shirsa Labs,Digital Intelligent learning platform,Mumbai,ah! Ventures,Seed Funding,"250,000",
12,04/11/2015,Paytunes,Voice Call incentivization mobile app,New Delhi,CIO Angel Network,Seed Funding,N/A,
13,04/11/2015,YourDOST,Online Counselling and psychological support platform,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,"400,000",
14,05/11/2015,BookMyBai,Domestic Help Aggregation platform,Mumbai,Vineel Nalla & Others,Seed Funding,"150,000",
15,05/11/2015,MyIndianStay,Home Stay & room rentals platform,Goa,Undisclosed investors,Seed Funding,"200,000",
16,05/11/2015,Bobble,Selfie Mobile App,New Delhi,SAIF Partners & others,Private Equity,N/A,Series A
17,06/11/2015,RepUp,Online Reputation Management Platform,Gurgaon,Indian Angel Network,Seed Funding,N/A,
18,06/11/2015,Satvacart,Online Grocery platform,Gurgaon,Undisclosed HNIs,Private Equity,"1,800,000",Pre-Series A Bridge
19,06/11/2015,POPxo.com,Online content platform for women,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,"2,000,000",Series A
20,06/11/2015,SparesHub,Online Vehicle Spare Parts etailer,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,"460,000",Pre-Series A
21,06/11/2015,Explara,Event Ticketing platform,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,"490,000",Pre-Series A
22,06/11/2015,Soothe Healthcare,affordable Personal Healthcare Products,Noida,Saina Nehwal,Seed Funding,N/A,2nd seed funding
23,06/11/2015,Yuvi Hospitality,Premium dining Lounges & restaurants,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,"15,000,000",Series A
24,09/11/2015,AppVirality,Mobile Growth HackingPlatform,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,  Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,"500,000",Pre-Series A
25,09/11/2015,iStar Skill Development,Skill Training Startup,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,"1,500,000",Series A
26,09/11/2015,BigStylist.com,Beauty and Wellness Marketplace,Mumbai,Info Edge,Private Equity,"1,000,000",Pre-Series A
27,09/11/2015,Zilingo,Marketplace App for Bangkok,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,"1,900,000",Series A
28,09/11/2015,Didi,On-demand Maids Service Provider,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,"150,000",
29,09/11/2015,Skoov.com,eCommerce Product Search Engine,Mumbai,undisclosed investor,Seed Funding,"150,000",
30,10/11/2015,Chefs Basket,Ready to cook packaged Foods,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,"6,000,000",Series A
31,11/11/2015,Gingercrush,Product Customization Platform,Vadodara,TV Mohandas Pai’s family office,Seed Funding,N/A,
32,11/11/2015,Delight Foods,Branded Food products online sales,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,"600,000",Series A
33,11/11/2015,6Degree,Talent platform for Fashion professionals,Goa/Hyderabad,"Centre For Incubation & Business Acceleration (CIBA), Goa",Seed Funding,N/A,
34,11/11/2015,RenewBuy,Auto Insurance Online platform,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,"500,000",
35,11/11/2015,Grab,Hyperlocal Logistics Service Provider,Mumbai,Sixth Sense Ventures,Seed Funding,N/A,
36,12/11/2015,Hitwicket,Cricket Management Mobile Game,Hyderabad,Chennai Angels,Seed Funding,"250,000",
37,13/11/2015,Flashdoor,On Demand Laundry Service platform,Bangalore,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",Seed Funding,N/A,
38,16/11/2015,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,Gurgaon,Kalaari Capital,Private Equity,"3,700,000",Series A
39,16/11/2015,Absentia,Virtual Reality Headset creator,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,"180,000",
40,16/11/2015,Renowala,Home Improvement Service platform,Hyderabad,Logtally,Seed Funding,N/A,
41,16/11/2015,TaskBucks,mobile-only tasks marketplace,New Delhi,Times Internet,Private Equity,"15,000,000",Strategic Investment
42,17/11/2015,CraftsVilla,Women Ethnic Wear  Online Marketplace,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,"34,000,000",Series C
43,17/11/2015,Julia Computing,Numerical Computing & Data Science Platform,Bangalore,Gordon and Betty Moore Foundation,Seed Funding,"600,000",
44,17/11/2015,StyleTag,Designer fashion Jewellery Marketplace,Bangalore,Jitu Virwani,Seed Funding,"7,500,000",
45,17/11/2015,Smytten,Online Products Discovery Platform,Gurgaon,"Rimpal Chawla, Anuj Srivastava",Seed Funding,"200,000",
46,17/11/2015,BiBox,Kids Tool kit for Innovation platform,Bangalore,Ravi Krishnamurthy,Seed Funding,"530,000",
47,17/11/2015,Convegenius,Mobile Learning Solutions,Noida / Singapore,Enablers platform,Seed Funding,"300,000",
48,18/11/2015,Ola,Car Aggregator & Retail Mobile App,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,"500,000,000",Series F (More Details Here)
49,18/11/2015,Goodbox,conversational commerce mobile app,Bangalore,Nexus Venture Partners,Private Equity,"2,500,000",Series A
50,18/11/2015,ScoopWhoop,Viral Content web Platform,New Delhi,Kalaari Capital,Private Equity,"4,000,000",Series A
51,18/11/2015,Hipship,Express local delivery platform,Bangalore,"Inara Capital , Rishi Khiani",Seed Funding,N/A,
52,18/11/2015,Pickrr,On-Demand Local Logistics provider,New Delhi,Palaash Ventures,Seed Funding,N/A,
53,18/11/2015,Truelancer,Curated Freelancer Marketplace,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",Seed Funding,N/A,
54,19/11/2015,AHA Taxis,Online Taxi Rental Platform,Noida,ah! Ventures,Seed Funding,N/A,
55,19/11/2015,UrbanClap,Mobile Services Marketplace,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,"25,000,000",Series B
56,19/11/2015,SenseGiz,Smartwatch Maker,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,"500,000",
