Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,01/10/2015,Indifi,Easy Business Loans platform,Gurgaon,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,N/A,
2,01/10/2015,Wydr,Performance based Wholesale Marketplace,New Delhi,Sandeep Aggarwal,Seed Funding,N/A,
3,01/10/2015,EasyFix,Professional Services Marketplace,Gurgaon,Axilor Ventures,Seed Funding,N/A,
4,01/10/2015,Muvizz,Movie-on-demand platform,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,"350,000",
5,01/10/2015,Abhibus,bus ticketing and fleet management platform,Hyderabad,Paytm (One97 communications),Private Equity,N/A,Strategic Investment
6,01/10/2015,Cleartax,Online Income Tax Filing platform,New Delhi,Paytm (One97 communications),Private Equity,N/A,N/A
7,02/10/2015,Shopalyst,Product discovery & recommendation platform,Bangalore,Kalaari Capital,Private Equity,"2,000,000",Series A
8,03/10/2015,Chillr,Mobile Payments App,Mumbai,Sequoia Capital,Private Equity,"6,000,000",Series A
9,05/10/2015,Nykaa,Beauty & Wellness Products e-tailer,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,"9,500,000",Series B
10,05/10/2015,Voylla,Fashion jewelry and accessories e-tailer,Jaipur,Peepul Capital,Private Equity,"15,000,000",Series B
11,05/10/2015,IndiaLends,Online Consumer Lending platform,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,"1,000,000",Pre-Series A Bridge round
12,05/10/2015,Rock N Shop,Premium Apparel shopping portal,New Delhi,High Networth Individuals (undisclosed),Seed Funding,"150,000",
13,06/10/2015,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,"700,000",
14,06/10/2015,WorkIndia,Job Board,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,"500,000",Pre-Series A
15,06/10/2015,SportzVillage,Sports Management & Physical Education Business,Bangalore,Gaja Capital Private Equity Fund,Private Equity,"10,000,000",Series B
16,06/10/2015,SportyBeans,multi-sport program for preschoolers,Pune,YouWeCan Ventures,Seed Funding,N/A,
17,06/10/2015,Burger Singh,QSR & Online delivery portal,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,"500,000",Bridge Round
18,06/10/2015,Welcome Cure,Online Homeopathy Clinic,Mumbai,Unnamed Media house and HNIs,Private Equity,"6,000,000",Pre-Series A
19,07/10/2015,SchoolGuru,E-Learning Service Provider,Mumbai,High Networth Individuals from India & USA,Private Equity,"3,000,000",Series A
20,07/10/2015,Naturally Yours,Organic Food etailer,Mumbai,Sanjay Mehta,Seed Funding,N/A,
32,07/10/2015,GoJavas,Delivery & Logistics Service provider,Gurgaon,Snapdeal,Private Equity,"20,000,000",Strategic Funding (Series C)
33,07/10/2015,Scandid,Product Discovery & comparison App,Pune,Micromax Informatics,Private Equity,N/A,Strategic Funding
34,07/10/2015,StalkBuyLove,Online Apparels Fashion brand,New Delhi,"Mato Peric, Peter Kabel & others",Private Equity,N/A,Series A
35,08/10/2015,ZuperMeal,Home Cooked Food marketplace & Delivery,Mumbai,"Sanjeev Kapoor,  Ravi Saxena & Others",Private Equity,"2,000,000",Series A
36,08/10/2015,Cube26,Gesture based Mobile Development,New Delhi,"Tiger Global Management, Flipkart",Private Equity,"7,700,000",Series A
37,08/10/2015,Mobikon,Hotel Mobile CRM Software platform,Pune / Singapore,"Life.SREDA, Qualgro",Private Equity,N/A,Series B
38,08/10/2015,Grabhouse,Rental Accommodation Search platform,Bangalore,Sequoia and Kalaari Capital.,Private Equity,"10,000,000",Series B
39,08/10/2015,Quifers,Logistics Tech Platform,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,"310,000",
40,09/10/2015,Stockroom.io,Developer Portfolio Showcase platform,Hyderabad,Undisclosed Investors,Seed Funding,"70,000",
41,09/10/2015,Curofy,Doctors Network Mobile App,New Delhi,RoundGlass Partners,Private Equity,N/A,Pre-Series A
42,09/10/2015,Cloud Lending,End-to-End Lending platform,Bangalore / San Mateo,SF Capital Group,Private Equity,"8,000,000",Series A
43,09/10/2015,Inayo,on-demand healthcare marketplace,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,"300,000",
44,09/10/2015,WoNoBo,360-degree view creating platform,Bangalore,Quikr,Private Equity,N/A,Strategic Funding
45,09/10/2015,Kulzy,Advertising & Marketing Community Networking platform,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,"1,000,000",
46,09/10/2015,Zeppery,Food Ordering & Delivery App,New Delhi,Suyash Sharma,Seed Funding,"77,000",
47,12/10/2015,Zify,Ride Sharing platform,Hyderabad,Sean O’Sullivan & Others,Seed Funding,"190,000",
48,12/10/2015,Faircent,Online P2P lending marketplace,Gurgaon,Aarin Capital Partners,Private Equity,N/A,Series A
49,12/10/2015,Bizongo,B2B marketplace for industrial goods,Mumbai,Accel Partners,Seed Funding,N/A,
50,12/10/2015,Gridle,Cloud Based Collaboration platform,Ahmedabad,LetsVenture,Seed Funding,"100,000",
51,12/10/2015,Tripoto,global community for travellers,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,N/A,Series A
