Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,01/09/2015,TOFlo,FinTech Startup Incubation platform,Mumbai,Tania Johny Palathinkal,Seed Funding,"100,000",
2,01/09/2015,FXMartIndia,Payment Services platform,Chandigarh,Flipkart,Private Equity,N/A,Strategic Investment (Majority Stake)
3,01/09/2015,Stylecracker,Personalized Styling platform,Mumbai,Group of HNI investors,Private Equity,"1,000,000",Series A
4,01/09/2015,Luxuryhues,Luxury goods  Shopping Platform,Gurgaon,Reliance Capital,Private Equity,"900,000",Series A
5,02/09/2015,HolaChef,Food Delivery Platform,Mumbai,Ratan Tata,Private Equity,N/A,Part of Series A raised inJune 2015
6,02/09/2015,Zivame,Online Lingerie Marketplace,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,"40,000,000",Series C
7,02/09/2015,Capillary Tech,Cloud software solutions,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,"45,000,000",Series D
8,03/09/2015,Jobspire,Job Search Platform,Bangalore,Purvi Capital,Seed Funding,"260,000",
9,03/09/2015,MeraDoctor,Doctor consultancy Mobile App,Mumbai,India Quotient & other investors,Seed Funding,N/A,
10,03/09/2015,Vistaar Finance,Small Business Financing (NBFC),Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,  Lok Capital",Private Equity,"40,000,000",
11,03/09/2015,HiJinny,Beauty & Wellness Services Marketplace,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,N/A,
12,04/09/2015,Clapsnslaps,Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,"150,000",
13,04/09/2015,Blubox,ECommerce Brands’ Full Service Agency,Mumbai,Ashish Jhalani,Seed Funding,"100,000",
14,04/09/2015,RoomCentral,Cloud-based Hotel Booking Platform,Bangalore,Karanpal Singh,Seed Funding,"2,000,000",
15,07/09/2015,YouthKiAwaaz,Community Driven News/Views Platform,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,"600,000",
16,07/09/2015,Prozo,Study Material Marketplace,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,"205,000",
17,07/09/2015,Zomato,Restaurant Ratings & Reviews platform,Gurgaon,"Temasek, Vy Capital",Private Equity,"60,000,000",Late Stage
18,07/09/2015,Sahayog Dairy,Dairy Based Product Manufacturer,Bhopal,Acumen Fund,Private Equity,"1,800,000",Series A
19,08/09/2015,MockBank,Government Test Preparation platform,Bangalore,Blume Ventures,Seed Funding,"400,000",
20,08/09/2015,ReportBee,Smart Report Cards for Schools,Chennai,India Educational Investment Fund,Seed Funding,N/A,
21,08/09/2015,GuruG Learning,Teacher empowerment platform,Bangalore,India Educational Investment Fund,Seed Funding,N/A,
22,10/09/2015,OnlineTyari,Multilingual Test Preparation Platform,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,"770,000",Series A
23,10/09/2015,IndustryBuying,Industrial Tools Marketplace,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,"9,200,000",Series B
24,10/09/2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,"315,000",
25,11/09/2015,FitMeIn,Gym & Fitness Studios Subscription platform,New Delhi,Green House Ventures,Seed Funding,"100,000",
26,11/09/2015,Envoged,pre-used luxury item Marketplace,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,N/A,
27,11/09/2015,Zapyle,pre-used apparel shopping mobile app,Bangalore,N/A,Seed Funding,"1,000,000",
28,11/09/2015,Renomania,Home Design & Décor platform,New Delhi,Subodh Gupta,Seed Funding,N/A,
