Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Invest-mentType,Amount (in USD)
1,01/4/2016,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,"2,700,000"
2,01/4/2016,PicsDream,Consumer Internet,Online Marketplace for Photographers,Delhi,Raman Roy,Seed Funding,N/A
3,01/4/2016,Process 9,Consumer Internet,online translation and transliteration,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,N/A
4,04/4/2016,Housing,Consumer Internet,Real Estate Portal,Mumbai,Vineet Singh,Private Equity,N/A
5,04/4/2016,Roll Mafia,Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,N/A
6,04/4/2016,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,"25,000,000"
7,04/4/2016,Highway Delite,Consumer Internet,Various Highway Help Services,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,N/A
8,05/4/2016,Cult Fitness,Healthcare,Healthcare training programs,Bangalore,Mukesh Bansal,Seed Funding,N/A
9,05/4/2016,Haptik,Technology,Personal Assistant App,Mumbai,Times Internet Ltd,Private Equity,N/A
10,05/4/2016,Servify,Consumer Internet,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,N/A
11,06/4/2016,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,"1,000,000"
12,06/4/2016,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,"500,000"
13,06/4/2016,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L’Occitane,Private Equity,"6,000,000"
14,06/4/2016,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,"1,000,000"
15,07/4/2016,Truly Social,Consumer Internet,Mobile Gaming Studio,London,Nazara Technologies Pvt Ltd,Private Equity,N/A
16,08/04/2016,Little Black Book,Consumer Internet,"Curated Food, event & Lifestyle guide",New Delhi,"IDG, Indian Angel Network",Seed Funding,N/A
17,08/04/2016,Vahan,Education,Mobile Education Platform,Chennai,Villgro,Seed Funding,N/A
18,08/04/2016,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,"40,000"
19,11/04/2016,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,"200,000"
20,11/04/2016,Vegfru,eCommerce,Online Fruit & Vegetable Marketplace,New Delhi,Wingify,Seed Funding,N/A
21,11/04/2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,"100,000,000"
22,11/04/2016,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,"300,000"
23,12/04/2016,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,"1,000,000"
24,12/04/2016,Happydemic,Consumer Internet,Artist Discovery & Booking platform,Mumbai,Shaan,Seed Funding,N/A
25,12/04/2016,LenDenClub,Finance,Peer-to-Peer Lending Platform,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,N/A
26,12/04/2016,Indi.com,Consumer Internet,Video Social Network,N/A,Anil Kapoor,Seed Funding,N/A
27,13/04/2016,Legalraasta,Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,"1,000,000"
28,13/04/2016,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,"150,000"
29,13/04/2016,Hippily,eCommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,"250,000"
