Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Invest-mentType,Amount (in USD)
1,01/7/2016,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,N/A
2,01/7/2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,N/A
3,01/07/2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"500,000"
4,01/07/2016,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,N/A
5,02/07/2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,"700,000"
6,04/07/2016,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,N/A
7,04/07/2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"15,000,000"
8,04/07/2016,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"200,000"
9,04/07/2016,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,"2,000,000"
10,04/07/2016,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,N/A
11,04/07/2016,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"16,000,000"
12,05/07/2016,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund  & Others,Private Equity,"1,000,000"
13,05/07/2016,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,"82,000,000"
14,05/07/2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,  Abhishek Jain",Seed Funding,"1,700,000"
15,06/07/2016,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,"740,000"
16,06/07/2016,Don’t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"250,000"
17,06/07/2016,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,"297,000"
18,07/07/2016,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,"2,000,000"
19,07/07/2016,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,"1,000,000"
20,07/07/2016,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,N/A
21,07/07/2016,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,N/A
22,08/07/2016,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,N/A
23,08/07/2016,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"1,950,000"
24,11/07/2016,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,"6,000,000"
25,11/07/2016,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,"3,500,000"
26,11/07/2016,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,"3,000,000"
27,12/07/2016,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,"12,250,000"
28,12/07/2016,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,N/A
29,12/07/2016,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,  Times Internet",Private Equity,N/A
30,12/07/2016,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,N/A
31,12/07/2016,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,N/A
32,13/07/2016,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,"5,000,000"
33,13/07/2016,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,N/A
34,13/07/2016,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"600,000"
35,13/07/2016,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,"1,350,000"
36,13/07/2016,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,N/A
37,13/07/2016,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,"5,000,000"
38,13/07/2016,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,N/A
39,13/07/2016,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,N/A
40,14/07/2016,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,"450,000"
41,14/07/2016,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,"1,070,000"
42,14/07/2016,TransTutors/AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,N/A
43,15/07/2016,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,"1,000,000"
44,15/07/2016,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,"2,000,000"
45,15/07/2016,BaggOut,eCommerce,Women’s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,N/A
46,15/07/2016,TripShelf,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,"250,000"
47,15/07/2016,SatvaCart,eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,N/A
48,15/07/2016,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet,Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,"6,000,000"
49,18/07/2016,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,"650,000"
50,18/07/2016,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,"650,000"
51,18/07/2016,BlueStone,eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,"30,000,000"
52,18/07/2016,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,N/A
53,18/07/2016,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,N/A
54,19/07/2016,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,"10,000,000"
55,19/07/2016,Deal4Loans/Wishfin,Consumer Internet,Loans Comparison platform,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,"15,000,000"
56,19/07/2016,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,"1,000,000"
57,19/07/2016,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,"250,000"
58,20/07/2016,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,"1,000,000"
59,20/07/2016,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,"595,000"
60,20/07/2016,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,N/A
61,21/07/2016,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,"1,000,000"
62,21/07/2016,AbeRuk,eCommerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,N/A
63,21/07/2016,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,"595,000"
64,21/07/2016,Drums Food,Food & Beverage,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Consumer Partners",Private Equity,"6,600,000"
65,22/07/2016,Treebo Hotels,Consumer Internet,Budget Hotel Aggregator & Booking platform,Bangalore,"Bertelsmann India Investments, SAIF Partners, Matrix Partners India.",Private Equity,"16,700,000"
66,22/07/2016,Skrilo,Consumer Internet,Mobile Marketing & Rewards Platform,Gurgaon,"Anuj Srivastava, Arvind Tiku",Seed Funding,"1,500,000"
67,22/07/2016,UrDoorStep,Consumer Internet,On-demand Grocery delivery portal,Bangalore,CP Murali,Seed Funding,"300,000"
68,22/07/2016,SimplyMoveIn,eCommerce,online marketplace for curated rental properties,Bangalore,Swastika Company Ltd,Seed Funding,N/A
69,25/07/2016,QwikCilver,Consumer Internet,Gift Card Services Provider,Bangalore,"Sistema Asia Fund, Amazon Asia-Pacific, Accel India, Helion Venture Partners",Private Equity,"10,000,000"
70,25/07/2016,QDesk,Consumer Internet,Online Workspace provider,New Delhi,"Anuraag Jaipuria, Rishi Kajaria, Ruchirans Jaipuria, Dheeraj Jain, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,N/A
71,25/07/2016,10i Commerce Services,Technology,ECommerce Technology Solutions,Bangalore,Nandan Nilekani,Seed Funding,N/A
72,25/07/2016,Lucideus,Technology,Cyber Security Solutions,New Delhi,Sanjay Baweja,Seed Funding,N/A
73,26/07/2016,WakoW,Consumer Internet,Hyperlocal Interest based Mobile Social Network,New Delhi,Undisclosed Investor,Seed Funding,"141,000"
74,26/07/2016,Zoom Car,Consumer Internet,Self Driver Car Rentals,Bangalore,"Ford Motor Company, Sequoia Capital, Reliance Ventures",Private Equity,"25,000,000"
75,26/07/2016,e27,Consumer Internet,Online Tech Media Portal,Singapore,TechTemple Group,Private Equity,"2,200,000"
76,26/07/2016,Big Deal,Consumer Internet,Student Deals Discovery Platform,New Delhi,EVC Ventures,Seed Funding,"100,000"
77,27/07/2016,Square Plums,Consumer Internet,Shared Accommodation Discovery platform,Bangalore,Indian Angel Network,Seed Funding,"446,000"
78,27/07/2016,IStyleyou,Consumer Internet,Online Fashion Styling & Chat app,Gurgaon,Rannvijay Singh,Seed Funding,N/A
79,27/07/2016,Mezi,Consumer Internet,AI based personal Shopping Assistant,SFO,"Nexus Venture Partners, Saama Capital, American Express Ventures",Private Equity,"9,000,000"
80,27/07/2016,Byndr,Consumer Internet,Mobile learning management platform,Hyderabad,Education Design Studio,Seed Funding,"700,000"
81,28/07/2016,Modasta,Consumer Internet,Multi-lingual health content portal,Bangalore,Undisclosed HNIs,Seed Funding,"1,500,000"
82,28/07/2016,MaxWholesale,eCommerce,B2B Wholesale Marketplace,New Delhi,"Maple Capital Advisors, Abhinav Grover",Seed Funding,"150,000"
83,28/07/2016,Neuron,Technology,Machine Learning Platform,New Delhi,"Harvinder Singh Bhatia, TLabs Accelerator",Seed Funding,"200,000"
84,28/07/2016,Tiyo,Consumer Internet,Doctor Discovery & healthcare info platform,Kolkata,"Anish K, Ajith Nair",Seed Funding,"120,000"
85,29/07/2016,GoCoop,eCommerce,Social Marketplace for Cooperative Enterprises,Bangalore,"Kris Gopalakrishnan, Saha Fund",Private Equity,"830,000"
86,29/07/2016,Lemon Leaf,Technology,Fresh Fruit and Vegetable Supply Chain Tech Builder,New Delhi,"Saurabh Sahni, Tushar Gupta",Seed Funding,"133,000"
87,29/07/2016,Appsay,Consumer Internet,Customer Engagement Platform,Pune,"Shreyans Shah, Mayank Shah",Seed Funding,"150,000"
88,29/07/2016,Fella Homes,Consumer Internet,Home Rental discovery & Booking platform,Gurgaon,Undisclosed investors,Seed Funding,"2,000,000"
89,29/07/2016,HelloDhobi,Consumer Internet,On-Demand Laundry & Dry cleaning Services,Pune,Swastika Company Ltd,Seed Funding,N/A
90,,,,,,,,
,,,,,,,,
,,,,,,,,
