Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Invest-mentType,Amount (in USD)
1,01/5/2016,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,N/A
2,01/5/2016,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,"376,000"
3,01/5/2016,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,"145,000"
4,02/5/2016,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,N/A
5,03/5/2016,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,"50,000,000"
6,03/5/2016,iDreamCareer,Consumer Internet,Career Planning Services Portal,New Delhi,Brand Capital,Private Equity,N/A
7,03/5/2016,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,"250,000"
8,03/5/2016,BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed investors,Seed Funding,N/A
9,03/5/2016,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,"180,000"
10,03/5/2016,Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,N/A
11,04/5/2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,"200,000"
12,04/5/2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,"60,000,000"
13,04/5/2016,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,"12,000,000"
14,04/5/2016,SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,"200,000"
15,04/5/2016,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,"200,000"
16,04/5/2016,MyDentistChoice,eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,"150,000"
17,04/5/2016,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,"500,000"
18,04/5/2016,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,"500,000"
19,04/5/2016,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,"500,000"
20,05/5/2016,Unbxd,Technology,eCommerce product discovery software,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,N/A
21,05/5/2016,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,"375,000"
22,06/5/2016,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,"1,000,000"
23,06/5/2016,Meesho,eCommerce,Social commerce platform,Bangalore,Rajul Garg & Others,Seed Funding,N/A
24,07/5/2016,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,"75,000"
25,09/5/2016,Locus,Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,"2,750,000"
26,09/5/2016,Toko Innovations,Consumer Internet,Children’s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,"450,000"
27,09/5/2016,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,"250,000"
28,10/5/2016,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,"6,000,000"
29,10/5/2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,"1,500,000"
30,10/5/2016,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,"18,000,000"
31,10/5/2016,SchoolWear,eCommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,"1,500,000"
32,10/5/2016,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,"7,000,000"
33,11/5/2016,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,"900,000"
34,11/5/2016,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,N/A
35,11/5/2016,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,"100,000,000"
36,12/5/2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,"500,000"
37,12/5/2016,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,"25,000,000"
38,12/5/2016,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,"150,000"
39,12/5/2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,N/A
40,12/5/2016,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,N/A
41,12/5/2016,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,N/A
42,12/5/2016,Derbii,Logistics,Carpooling Services,Gurgaon,Anurag Chauhan,Seed Funding,N/A
43,13/5/2016,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,"13,500,000"
44,13/5/2016,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,"2,200,000"
45,16/5/2016,Smartivity,eCommerce,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,"1,000,000"
46,16/5/2016,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,N/A
47,17/5/2016,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Rata Tata,Private Equity,N/A
48,17/5/2016,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,N/A
49,17/5/2016,Blinge,eCommerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,N/A
50,18/5/2016,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,"250,000"
51,18/5/2016,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,"100,000"
52,18/5/2016,Fundamentor,Education,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,N/A
53,18/5/2016,EduPristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,"10,000,000"
54,18/5/2016,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,"1,000,000"
55,18/5/2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,N/A
56,19/5/2016,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,"1,000,000"
57,19/5/2016,Niki.ai,Technology,Artificial Intelligence Platform,Bangalore,Ratan Tata,Private Equity,N/A
58,19/5/2016,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,"500,000"
59,19/5/2016,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,"500,000"
60,20/5/2016,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,"300,000"
61,23/5/2016,EduRev,Consumer Internet,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,N/A
62,23/5/2016,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,"89,000"
63,24/5/2016,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,N/A
64,24/5/2016,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,"1,000,000"
65,25/5/2016,Roast,Consumer Internet,Mobile entertainment App,New Delhi,Indian Angel Network,Seed Funding,N/A
66,25/5/2016,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,"1,500,000"
67,25/5/2016,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,"100,000"
68,25/5/2016,SheThePeople,Consumer Internet,Digital platform for Women,New Delhi,Anand Mahindra,Seed Funding,N/A
69,26/5/2016,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,"2,000,000"
70,26/5/2016,Consure Medical,Healthcare,Medical Devices Kit manufacturer,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,N/A
71,26/5/2016,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,"475,000"
72,27/5/2016,Pianta,Consumer Internet,Online healthcare service discovery platform,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,N/A
73,30/5/2016,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,"200,000"
74,31/5/2016,Play Your Sport,Consumer Internet,Location based Sports & Fitness Discovery App,New Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,N/A
75,31/5/2016,Koovs,eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,"4,400,000"
76,31/5/2016,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,"8,900,000"
77,31/5/2016,1mg,eCommerce,Online Pharmacy,Gurgaon,HBM Healthcare Investments,Private Equity,N/A
78,31/5/2016,Tpot,Food & Beverage,QSR Chain,Gurgaon,Ashish Gupta,Seed Funding,N/A
79,31/5/2016,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,"175,000"
80,,,,,,,,
