Sr. No.,Date,Startup Name,Industry/Vertical,Sub-Vertical,City,Investor Name,Investment Type,Amount(in USD)
1,02/11/2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,"570,000"
2,02/11/2017,AadharAPI.com,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,N/A
3,02/11/2017,FreshBoxx,ECommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,N/A
4,03/11/2017,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,"1,000,000"
5,03/11/2017,HalaPlay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,N/A
6,03/11/2017,Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,"500,000"
7,04/11/2017,Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,"1,000,000"
8,06/11/2017,Smart Karma,Technology,Financial Technology Research Platform,Bangalore,IDG Ventures India,Private Equity,N/A
9,06/11/2017,Leverage Edu,ECommerce,Online platform for Higher Education Services,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,N/A
10,07/11/2017,Crayon Data,Technology,Customer Engagement Platform,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,N/A
11,07/11/2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,"5,000,000"
12,07/11/2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group’s watch and jewellery retailing firm",Private Equity,"5,000,000"
13,08/11/2017,TalentEdge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,"7,600,000"
14,08/11/2017,Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,"3,000,000"
15,08/11/2017,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,"3,000,000"
16,08/11/2017,OpenApp,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,"3,600,000"
17,09/11/2017,NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,"872,000"
18,09/11/2017,Tilite Technologies Pvt. Ltd,Technology,Saas based Corporate Travel Management Solution,Bangalore,Matrix Partners,Seed Funding,N/A
19,09/11/2017,Mobiliz AR,Technology,Augmented Reality based Tech platform,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,N/A
20,10/11/2017,Qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,"25,000,000"
21,10/11/2017,Happily Unmarried,ECommerce,Online Gifting platform,Nw Delhi,Wipro Consumer Care,Private Equity,N/A
22,13/11/2017,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,"15,000,000"
23,14/11/2017,Hungry Foal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurgaon,GAIL India Ltd,Seed Funding,N/A
23,14/11/2017,Active AI,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,"825,0000"
24,15/11/2017,Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,"900,000"
25,15/11/2017,ElderAid Wellness,Health Care,Social Healthcare Enterprise,Bangalore,Rugmini Menon,Angel Funding,N/A
26,15/11/2017,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,"3,000,000"
27,15/11/2017,Josh Talks,Inspiration,Storytelling platform,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,N/A
28,15/11/2017,Reniso,Technology,End-to-End property management for landlords living away,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,N/A
29,17/11/2017,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,"200,000"
30,17/11/2017,Perspectico,Technology,Placement preparation and career growth training platform,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,N/A
31,20/11/2017,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,"692,000"
