Sr. No.,Date,Startup Name,Industry/Vertical,Sub-Vertical,City,Investor Name,Investment Type,Amount(in USD)
1,2/1/2018,CleverTap,Technology,Mobile App Analytics,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,N/A
2,4/1/2018,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,"15,700,000"
3,5/1/2018,WOTU,E-commerce,Food and Beverages,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,N/A
4,8/1/2018,DAAKI,E-commerce,Sports Nutrition Supplement etailer,Bengaluru,Rohan Agila,Angel / Seed Funding,N/A
5,9/1/2018,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,"4,700,000"
6,9/1/2018,Kinsane Entertainment Inc,Entertainment,Digital Entertainment for Children,Mumbai,N/A,Seed/Angel Funding,"2,500,000"
7,10/1/2018,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,"1,930,000"
8,10/1/2018,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,"18,840,000"
9,10/1/2018,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,"23,500,000"
10,10/1/2018,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,"36,230,000"
11,12/1/2018,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,"80,000"
12,12/1/2018,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,"20,000,000"
13,15/1/2018,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,"354,600"
14,15/1/2018,pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix’s corporate financing arm, Electronic Development Fund",Private Equity,"25,000,000"
15,15/1/2018,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,"20,000,000"
16,17/1/2018,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,"1,000,000"
17,18/1/2018,ShareChat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,"18,200,000"
18,22/1/2018,Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,"400,000"
19,22/1/2018,HungerBox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,"2,500,000"
20,22/1/2018,Skillate,Technology,Artificial Intellegence,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,N/A
21,22/1/2018,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,"4,000,000"
22,22/1/2018,AEON Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,"3,200,000"
23,23/1/2018,Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,"3,000,000"
24,24/1/2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,"47,000,000"
25,24/1/2018,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,"8,600,000"
26,24/1/2018,Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,"6,240,000"
27,25/1/2018,Glassic,Ecommerce,Eyewear,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,N/A
28,25/1/2018,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,"1,000,000"
29,26/1/2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,"7,400,000"
30,29/1/2018,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,"1,500,000"
31,29/1/2018,The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,"1,000,000"
32,30/1/2018,PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,"1,000,000"
33,30/1/2018,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,"50,000,000"
34,30/1/2018,Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,"500,000"
35,30/1/2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,"7,600,000"
36,30/1/2018,CureFit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,"10,000,000"
37,31/1/2018,iNurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,"4,400,000"
