Sr. No.,Date,Startup Name,Industry/Vertical,Sub-Vertical,City,Investor Name,Investment Type,Amount(in USD)
1,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"6,000,000"
2,06/12/2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,"70,000,000"
3,3/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"50,000,000"
4,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"20,000,000"
5,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"12,000,000"
6,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"30,000,000"
7,16/12/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,"5,900,000"
8,14/12/2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,"2,000,000"
9,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"50,000,000"
10,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"231,000,000"
