,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Qin1,,"NoidaEdtechIt is alearning platform for kids in the age group 5 to 14 yrsIshan Gupta, Aarti GuptaVenture CatalystsUndisclosed",Edtech,It is alearning platform for kids in the age group 5 to 14 yrs,"Ishan Gupta, Aarti Gupta",Venture Catalysts,Undisclosed,
1,MYSUN,2015,Delhi,Tech,Platform for rooftop solar energy solutions,"Gagan Vermani, Divyanshu Sachdev, Gyan Prakash Tiwari",Undisclosed,"$4,257,000",Pre series A
2,ShopX,2015,Bangalore,Ecommerce,B2B retail operating system,"Amit Sharma, Apoorva Jois",Li and Fung,"$1,410,000",
3,Sarva,,,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Mantra Capital, Patni Family",Undisclosed,
4,Expertrons,,Mumbai,AI,AI video bot platform for career hacks,"Vivek Gupta, Jatin Solanki","Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",Undisclosed,Seed Round
5,NewsBytes,,Gurugram,Digital Media,News portal,"Romesh Khaddar, Shikha Chaudhry, Sumedh Chaudhry",North Base Media,"$1,500,000",Series A
6,Wagonfly,2018,Bangalore,,Contactless shopping and delivery experience by using radio frequency to tag retail items,Raghavendra Prasad,Investment Trust of India,"$500,000",
7,NIRA,2018,,Fintech,It offers access and credit to working Indians,"Rohit Sen, Nupur Gupta",Angel investors,"$2,100,000",Pre Series A
8,Convosight,2019,Hyderabad,Data Analytics,It helps business gain insights from its community on Facebook groups,"Tarun Dhamija, Kartik Bansal","IvyCap Ventures, Sequoia Capital","$4,000,000",Pre series A
9,Fittr,,Pune,Fitness,Fitness Social Network & Consultation Platform,Jitendra Chouksey,"Sequoia Capital Surge, Better Capital","$2,000,000",
10,AsknBid,2018,Bangalore,Investment Tech,It builds algorithmic investing-based tech products,"Suresh Bavisetti, Paarth Dhar",Ravikanth Reddy & Mumbai Angel Network,Undisclosed,
11,Bira91,2015,Bangalore,Beverage,Craft beer maker,Ankur Jain,"Sequoia Capital, Sofina","$20,000,000",Series C
12,Finaureus Technologies,2017,Pune,Fintech,Provides investment management solutions,"Arindam Ghosh, U R Bhatt",Pinetree Capital,Undisclosed,Pre series A
