,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,AdonMo,2017,Bangalore,Ad-tech,It is an online and outdoor advertising company,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial,"$3,000,000",
1,RACEnergy,2018,,E-mobility,It builds electric vehicles and supporting infrastructure,"Arun Sreyas, Gautham Maheswaran","GrowX ventures, Prophetic Ventures",Undisclosed,Seed Round
2,BharatPe,2018,Delhi,Fintech,Digital payments platform,Ashneer Grover,Coatue Management,"$100,000,000",
3,Vogo,2016,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,"$35,000,000",Series C
4,Yolo,2019,Gurugram,Transport,Intercity transportation startup,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,"$600,000",Seed Round
5,Unotech,2011,Mumbai,SaaS,It develops fully-customisable open source software,Vikash Jha,Manish Choksi,"$2,000,000",
6,Zetwerk,2018,Bangalore,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",InnoVen capital,"$2,200,000",
7,WizKlub,2018,Bangalore,Edtech,Helps students solve problems at complex level,Amit Bansal,Incubate Fund India,"$982,530",Seed Funding
8,Interviewbit,2014,Pune,Edtech,Platform that provides coding and interview preparation course by industry professionals from tech companies,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)","$200,000,000",Series A
9,MoneyTap,2016,,Fintech,App-based consumer credit line that gives customers access to credit on tap.,"Bala Parthasarathy, Anuj Kacker, Kunal Varma","Aquiline Technology Growth (ATG), RTP Global, Sequoia India","$70,185,200",Series B
10,Uniplatform Tech,2015,Delhi,SaaS,Runs real estate SaaS platform MultiplyMyLeads.com.,"Rohit Manghnani, Amit K Jaiswal, Iccha Manghnani","Frontline Strategy Finds, SucSEED Venture Partners LLP",Undisclosed,
11,Bizongo,2015,Mumbai,Marketplace,A B2B marketplace for packaging materials,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq,"$30,000,000",Series C
12,AppsFlyer,2011,Bangalore,SaaS,Mobile marketing analytics and attribution platform,"Oren Kaniel, Reshef Mann",General Atlantic,"$210,000,000",Series D
13,Digit Insurance,,Bangalore,Insurtech,General Insurance Company,Kamesh Goyal,"A91 Partners, Faering Capital, TVS Capital","$84,000,000",
14,Livspace,2014,Bangalore,Interior Design,It offers end-to-end home design experience for homeowners and home designers,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment","$60,000,000",Series D
15,GetVantage,,Mumbai,Fintech,Revenue based finance provider,Bhavik Vasa,"Samyakth Capital, Venture Catalysts",Undisclosed,Seed round
16,Konfinity,2018,Noida,Edtech,Provides online coding courses,"Navratn Singh, Kamal Pandey",Angel investors,Undisclosed,
