,0,1,2,3,4,5,6,7,8
2,Ola Financial Services,,Bangalore,Fintech,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,"$27,000,000",Series A
3,Awifs,2015,Delhi,Co-working,Provides office space solutions,Amit Ramani,"Bisque Limited, Link Investment Trust.","$5,200,000",
5,Swiflearn,2019,Gurugram,Edtech,Learning platform for K-10 students looking for personalised learning,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",Undisclosed,Seed Round
7,Blowhorn,2014,Bangalore,Logistics,Tech platform that connects logistics service seekers with mini-truck drivers,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,Undisclosed,
8,Toch,,Mumbai,AI,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures","$1,000,000",Pre series A
9,Gram Cover,,Noida,Insurtech,It provides insurance products in rural areas,Jatin Singh,"EMVC, Flourish, Omidyar Network India",Undisclosed,Pre series A
11,HomeCapital,,Mumbai,Fintech,Home Down Payment Assistance Program,Lalit Menghani,Varanium NexGen Fund,Undisclosed,
14,NWNT (No Worry No Tension Healthcare),,Delhi,Healthtech,Mental healthtech startup,Sandeep Vohra,Amit Burman,Undisclosed,Pre Series A
15,Voicezen,,Gurugram,AI,Conversational AI startup,Anurba Nath,Bharti Airtel,Undisclosed,
16,Leap Club,,Gurugram,,Community led professional network for women,"Ragini Das, Anand Sinha","Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover","$340,000",Pre seed round
18,Xtracap,,Gurugram,Fintech,"Offers online payment solution,schemes, order management, insurance etc.,",Mohammed Riaz,Angel Investors,"$1,000,000",
19,Tring,2019,Mumbai,Media,Celebrity engagement platform,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh",Undisclosed,
20,Vakilsearch,2010,Chennai,Legal,"Online platform for legal, tax and compliance services",Hrishikesh Datar,Sujeet Kumar,Undisclosed,
21,Khatabook,,Bangalore,Fintech,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,B Capital Group,"$60,000,000",Series B
22,LendingKart,2014,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient","$11,363,000",Series D
