,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Freshokartz,2016,"Jaipur, Rajastan",AgriTech,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs","$1,000,000",Pre-series A
1,FlexiLoans,2016,Mumbai,FinTech,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.","Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,"$6,000,000",Debt
2,Agrix,2020,Patna,AgriTech,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.","Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,Undisclosed,
3,BharatAgri,2017,Pune,AgriTech,A Smart Farming Technology Platform for Indian Farmers,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",Undisclosed,Pre-series A
4,FreshtoHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar","$121,000,000",Series C
5,Credable,2017,Mumbai,FinTech,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Nirav Choksi,Oaks Asset Management,"$4,500,000",
6,Railofy,2019,Mumbai,Transportation,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital","$5,000,000",Seed
7,Finova Capital,2016,"Jaipur, Rajastan",FinTech,Finova Capital is a non-banking financial company.,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital","$55,000,000",
8,Teachmint,2020,Bangalore,Edtech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,"$3,500,000",Seed
9,Peel-Works,2010,Mumbai,E-commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle","$3,000,000",
10,Janani,2020,Bangalore,Fertility tech,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Nilay Mehrotra,9Unicorns,"$200,000",Pre-seed
11,Credgenics,2018,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala","$3,300,000",Seed
12,Finelistings,2015,New Delhi,Luxury car startup,A Used Luxury Car Marketplace,Aneesh Mathur,Justdial,Undisclosed,
13,Wellversed,2018,New Delhi,Healthcare,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",Undisclosed,Pre-series A
14,Nykaa,2012,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",Undisclosed,
15,Jumbotail,2015,Bangalore,E-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),"$11,000,000",Series B2
16,Winzo,2018,New Delhi,Gaming startup,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,"Paavan Nanda,Saumya Singh Rathore","Makers Fund,Courtside Ventures","$2,000,000",
17,mCaffeine,2015,Mumbai,Cosmetics,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital","$5,000,000",Series B
18,Pocket FM,2018,Bangalore,FM,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,Rohan Nayak,"Times Group, Lightspeed","$5,000,000",Series A
19,Snackible,2015,Mumbai,Healthcare,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,,"Mumbai Angels, Murali Nair",Undisclosed,Bridge
