,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Elucidata,2015,New Delhi,BioTechnology,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,"$5,000,000",Pre-series A
1,Saveo,2019,Bangalore,HealthTech,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,"Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, RTP Global","$4,000,000",Seed
2,Qin1,2019,Noida,EdTech,Re-imagining Kids of 21st Century!,Ishan Gupta,Venture Catalysts,Undisclosed,Pre-series A
3,DotPe,2019,Gurugram,FinTech,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.","Anurag Gupta, Gyanesh Sharma, Shailaz Nag","Info Edge, Ruizheng Investment","$8,000,000",Seed
4,Taskmo,2018,Bangalore,B2B Marketplace,Gig Economy Platform | Task Fulfillment Platform | New-age fulfillment solutions,"Prashant Janadari, Naveen Ramchandra",Quess Corp India,"$1,400,000",
5,MasterMentors,2019,West Bengal,EdTech,India's first online platform for mentors enabling them to translate their expertise into a profitable online course,"Suraj Juneja, Vijay Rachh, and Aaquib Hussain",,"$1,500,000",
6,KIKO TV,2020,Mumbai,E-commerce,KIKO TV is an AI-based short live video e-commerce platform.,Shivam Varshney,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",Undisclosed,Pre-series A
7,Quali55Care,2018,Mumbai,Health care,Deliver highly durable & affordable medical equipments on rental and sale.,Harddik K Patel,India Accelerator’s Angel Investor Network,Undisclosed,Seed
8,Ruptok,2020,New Delhi,FinTech,Ruptok operates as a fintech platform for gold loans,"Ankur Gupta, Akshita Gupta, Yashwardhan Aeren",Wurk,"$10,000,000",
9,RevFin,2018,New Delhi,FinTech,RevFin is a digital lending company.,Sameer Aggarwal,Shell Foundation,Undisclosed,
10,SeeVC,2020,New Delhi,Tech Startup,Leverages artificial intelligence (AI) to build products for the education sector,"Shivam Sood, Lark Aakarshan",Jimmy Singh,"$1,000,000",Seed
11,Junio,2020,New Delhi,EdTech,Junio is a kids-focused digital pocket money-smart card.,Shankar Nath,"Kunal Shah, Deepak Abbot","$1,000,000",
12,VenWiz,2020,Bangalore,B2B service,Digitising the interactions between core industry and vendors for engineering services,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture","$300,000",Seed
13,Vista Rooms,2015,Mumbai,Hospitality,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""","Amit Damani, Ankita Sheth, Pranav Maheshwari","Singapore Angel Network, Artha India Ventures","$1,000,000",
14,Makers Hive,2018,Hyderabad,Tech Startup,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable",Pranav Vempati,"Starfish Growth Partners, Investpad","$9,000,000",
15,Headfone,2017,Bangalore,Social audio,Headfone helps create and share the audio content with listeners.,"Pratham Khandelwal, Yogesh Sharma",Hashed,"$3,000,000",Seed
