,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Lenskart,2010,"Faridabad, Haryana",Fashion,Lenskart is an India-based online shopping portal for eyewear.,"Amit Chaudhary, Peyush Bansal","Kohlberg Kravis Roberts, Temasek Holdings","$95,000,000",
1,ParkSmart,2018,New Delhi,Automotive,ParkSmart is a parking management application.,"Prateek Garg, Rahul Gupta, Ratan Anmol Sethi, Rishabh Nagpal, Vishva Sharma","Shireen Rangaswamy, Dilesh Gathani",Undisclosed,Seed
2,Virohan,2018,Gurugram,EdTech,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja","Rebright Partners, Wadhwani Foundation","$3,000,000",Series A
3,BankSathi,2019,New Delhi,FinTech,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.",Jitendra Dhaka,"Dinesh Godara, Aditya Talwar","$200,000",Seed
4,Spark Studio,2020,Bangalore,EdTech,Online courses to build creativity and confidence in children through extra-curricular learning,Anushree Goenka,Better Capital,Undisclosed,Seed
5,BlissClub,2020,Bangalore,Fashion,"BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret",Minu Margeret,Elevation Capital,"$2,000,000",Seed
6,BricSpaces,2018,Bangalore,Real estate,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Madhusudhan,Angel investors,"$350,000",Pre-seed
7,ANSR,2008,Bangalore,Consulting,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.",Lalit Ahuja,"Sistema Asia Capital, Evolvence India Fund","$15,000,000",Series B
8,Keito,2016,Pune,AI company,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises",Amal P S,"Rajesh Agarwal, Nandkishore Mundada",Undisclosed,Seed
9,Reccy Adventures,2019,Gurugram,Sports startup,Reccy Adventures is an adventure sports startup.,"Amit Chowdhury, Siddhartha Chatterjee, Tapas Pal","Kallol Banerjee, Jaydeep Barman","$400,000",Seed
10,Magenta EV,2017,Mumbai,Renewable Energy,Magenta is in the business of Enabling electric mobility & Making electricity clean,"Maxson Lewis, Darryl Dias","JITO Angel Network, LetsVenture","$15,000,000",Series A
11,Karbon Card,2019,Bangalore,FinTech,Karbon Card is a financial platform for Indian entrepreneurs.,"Amit Jangir, Bo Li, Jianwei Chen, Kartik Jain, Pei-fu Hsieh, Sunil Kumar","MyAsia VC, Orios Venture Partners","$1,000,000",Pre-series A
