,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Zepto,2021,Mumbai,E-commerce,Grocery delivery startup,"Aadit Palicha, Kaivalya Vohra","Glade Brook Capital, Nexus, Y Combinator",$60000000,
1,Fi,2019,Bangalore,Financial Services,Fi is a neo bank.,Sumit Gwalani,"Capital Group, Falcon Edge",$50000000,Series B
2,Kiko Live,2020,Gurugram,Commerce,Video-based social commerce startup,"Alok Chawla, Shivam","Dinesh Agarwal, Amarjit Batra",$1000000,Pre-series A
3,TurboHire,2019,Hyderabad,Computer Software,"Industry-leading augmented intelligence software for Talent Intelligence, Recruitment Automation, and Applicant Tracking",Deepak Agrawal,"Arcilla, Samir Khosla",$Undisclosed,
4,The Hosteller,2015,Mumbai,Hospitality,"Pit-stop for global as well as local travellers to relax, rejuvenate and experience India’s rich heritage while not worrying about a clean, safe and smart place to stay.",Pranav Dangi,"SUNiCON Ventures, Shubhkam Ventures, Jito Angel network, FAAD Network",$1000000,Pre-series A
5,SatSure,2017,Bangalore,Defense & Space,SatSure is an innovative decision analytics company,"Prateep Basu, Rashmit Singh Sukhmani, Abhishek Raju",Baring PE India,$Undisclosed,
6,Ruptok Fintech,2020,New Delhi,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Manuvel Malabar Jewellers,$2000000,Pre-series A
7,VilCart,2017,Bangalore,Retail,Vilcart's motto is sustainable rural development through stability for rural retailers.,Prasanna Kumar,Nabventures,$2000000,
8,Dogsee Chew,2015,Bangalore,Food & Beverages,100% Natural Dog Treats.,"Bhupendra Khanal, Sneh Sharma",Sixth Sense Ventures,$7000000,Pre-series A
9,Advantage Club,2014,Gurugram,HR Tech,Advantage Club is India's largest employee engagement platform.,Sourabh Deorah,"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah",$3300000,Pre-series A
10,TRDR,2020,Bangalore,Financial Services,TRDR is an all-new approach to investing.,Ricky Jacob,"Kunal Shah, Snehal Fulzele",$150000,
11,Zoomcar,2012,Bangalore,Mobility,Zoomcar holds the distinction of being India’s first personal mobility platform,Greg Moran,SternAegis Ventures,$92000000,
12,Leap India,2013,Mumbai,Logistics & Supply Chain,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",Anurag Malempati,CDC Group,$10000000,
