Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
Happy Cow Dairy,Mumbai,"Agriculture, Farming",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Undisclosed,584795.0,Seed,2018
Freyr Energy,Hyderabad,"Energy, Environmental Consulting, Renewable Energy, Solar","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Undisclosed,1500000.0,Series A,2018
Drivezy,Bengaluru,"Automotive, Rental, Sharing Economy",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Undisclosed,100000000.0,Debt Financing,2018
Hush - Speak Up. Make Work Better,Bengaluru,"Communities, Leisure, Mobile Apps, Software",Enabling diversity of opinions in organizations,Undisclosed,657895.0,Seed,2018
The Souled Store,Mumbai,"Fashion, Graphic Design, Wearables","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",Undisclosed,3000000.0,Venture - Series Unknown,2018
Perspectico,Delhi,"Career Planning, Education, Internet",An Education Management startup.,Undisclosed,1140351.0,Seed,2018
Kogta Financial India Limited,Jaipur,Financial Services,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,Undisclosed,22514620.0,Series B,2018
Hospals,Delhi,"Medical, Tourism",Hospals is a medical tourism company.,Undisclosed,1500000.0,Seed,2018
UrbanClap,Delhi,"Apps, Home Services, Information Services, Information Technology",UrbanClap is India's leading managed marketplace for home services.,Undisclosed,50000000.0,Series D,2018
NIRAMAI Health Analytix,Bengaluru,"Health Care, Hospital",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,Undisclosed,6000000.0,Seed,2018
Square Off,Mumbai,"Internet of Things, Robotics",Delivering Imagination,Undisclosed,1100000.0,Seed,2018
ERUDITUS Executive Education,Mumbai,"Continuing Education, EdTech, Education, Skill Assessment","Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",Undisclosed,40000000.0,Series C,2018
Career Anna,Bengaluru,"Commercial, E-Learning, Education",India's Go to Career Commerce Portal,Undisclosed,584795.0,Seed,2018
Wicked Ride Adventure Services Private Limited,Bengaluru,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Peer-to-Peer motor vehicles sharing,Undisclosed,10000000.0,Venture - Series Unknown,2018
Cricnwin,Gurgaon,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Cricnwin is a Gurugram - based Fan Engagement Platform,Undisclosed,1140351.0,Seed,2018
Finwego,Chennai,NaN,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,Undisclosed,1140351.0,Seed,2018
FreightBro,Mumbai,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Software for the new-age freight,Undisclosed,1140351.0,Seed,2018
The Social Hook,Bengaluru,Marketing,Fast growing Influencer Marketing platform in India.,Undisclosed,1140351.0,Seed,2018
Wishfie,Bengaluru,Apps,A platform for people to express their opinions in form of short videos around any topic.,Undisclosed,1140351.0,Seed,2018
Gaia Smart Cities,Mumbai,"Smart Cities, Telecommunications",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,Undisclosed,1140351.0,Seed,2018
Charcoal Eats,Mumbai,Food Processing,Charcoal Eats aims to bring Dominos style standardisation.,Undisclosed,730994.0,Seed,2018
CloudSek,Bengaluru,"Information Technology, SaaS, Security",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,Undisclosed,2046784.0,Seed,2018
Verloop,Bengaluru,"Customer Service, Information Technology, Internet, Sales Automation",Verloop is an automated customer support and engagement platform.,Undisclosed,3000000.0,Series A,2018
Billdesk,Ahmedabad,"Finance, FinTech, Payments, Property Development, Rental","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",Undisclosed,1140351.0,Venture - Series Unknown,2018
CropIn Technologies,Bengaluru,"Agriculture, Mobile","To discover, develop and deliver innovative solution in Agtech Space",Undisclosed,8479532.0,Series B,2018
Cloudnine Hospitals,Bengaluru,"Child Care, Health Care, Hospital, Medical, Women's",Cloudnine is an Indian chain of women and child care hospitals.,Undisclosed,1140351.0,Private Equity,2018
CashRich,Mumbai,"Apps, Financial Services, FinTech",A Mumbai-based fin-tech startup,Undisclosed,1000000.0,Seed,2018
Signzy,Bengaluru,"Computer, FinTech, Risk Management, Software",Signzy are creating 'building blocks for a Digital Trust system.,Undisclosed,3508772.0,Series A,2018
Detect Technologies,Chennai,"Artificial Intelligence, Energy, Oil and Gas",Completely automated remote control system.,Undisclosed,3300000.0,Series A,2018
Aldopay,Chennai,Mobile Payments,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,Undisclosed,200000.0,Seed,2018
Aye Finance,Gurgaon,"Finance, Financial Services, Small and Medium Businesses",Aye Finance provides financial services to micro and small businesses in Northern India.,Undisclosed,1052632.0,Debt Financing,2018
